section,path,size_bytes,details,note
large_file_over_threshold,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\lib\x64\nvrtc_static.lib,341099798,large_file,review required
large_file_over_threshold,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\lib\x64\nvJitLink_static.lib,329189146,large_file,review required
large_file_over_threshold,C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.97\msedge.dll,315077672,large_file,review required
large_file_over_threshold,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\msedge.dll,315077672,large_file,review required
large_file_over_threshold,C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\msedge.dll,315077672,large_file,review required
large_file_over_threshold,C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.84\msedge.dll,315060264,large_file,review required
large_file_over_threshold,C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\msedge.dll,315060264,large_file,review required
large_file_over_threshold,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.84\msedge.dll,315060264,large_file,review required
large_file_over_threshold,C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.84\msedge.dll,315060264,large_file,review required
large_file_over_threshold,C:\Windows\System32\Microsoft-Edge-WebView\msedge.dll,307329104,large_file,review required
large_file_over_threshold,C:\Windows\WinSxS\amd64_microsoft-edge-webview_31bf3856ad364e35_10.0.26100.8036_none_2eddbf5f3aa19f00\msedge.dll,307329104,large_file,review required
large_file_over_threshold,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\bin\cufft64_11.dll,291784192,large_file,review required
large_file_over_threshold,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\bin\cusparse64_12.dll,275632128,large_file,review required
large_file_over_threshold,C:\Program Files (x86)\Google\Chrome\Application\146.0.7680.178\chrome.dll,274729624,large_file,review required
stale_file,C:\Windows\RE_DRIVE\RECOVERYCD_ISO\sources\Boot.wim,445787009,stale_file,review required
stale_file,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\bin\cufft64_11.dll,291784192,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\libcef.dll,166002496,stale_file,review required
stale_file,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\acrocef_2\libcef.dll,151794640,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Compute 2024.1.1\host\windows-desktop-win7-x64\Qt6WebEngineCore.dll,140047504,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.4.4\host-windows-x64\Qt6WebEngineCore.dll,140047504,stale_file,review required
stale_file,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\bin\cublas64_12.dll,100033536,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\shareplay\Qt5WebEngineCore.dll,95064696,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Compute 2024.1.1\host\windows-desktop-win7-x64\Plugins\RebelPlugin\RebelPlugin.dll,61466200,stale_file,review required
stale_file,C:\Windows\System32\oobe\OEM\Log\MigLog.xml,54876529,stale_file,review required
stale_file,C:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\shareplay\aegir.dll,51925312,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 20\FLEngine_x64_Copy1.dll,50859192,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Compute 2024.1.1\target\windows-desktop-win7-x64\cuda-injection.dll,49761368,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Shared\ffmpeg\x64\avcodec-58.dll,47050240,stale_file,review required
stale_file,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\bin\nvrtc64_120_0.dll,44738048,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\cupy\cuda\thrust.cp312-win_amd64.pyd,41750528,stale_file,review required
stale_file,C:\Program Files\Image-Line\Shared\dsp_ippv2_x64.dll,40492840,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Shared\dsp_ippv2_x64.dll,39953128,stale_file,review required
stale_file,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\bin\nvJitLink_120_0.dll,38247424,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\cupy\cuda\cub.cp312-win_amd64.pyd,34981376,stale_file,review required
stale_file,C:\Program Files (x86)\MSI\Dragon Center\IntelOverclockingSDK.dll,30972928,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Compute 2024.1.1\target\windows-desktop-win7-x64\icudt71.dll,30432368,stale_file,review required
stale_file,C:\Program Files\Image-Line\Shared\dsp_ippv2.dll,28428072,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda122.dll,26367488,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda123.dll,26359296,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda122_nocublaslt.dll,26353664,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda123_nocublaslt.dll,26345472,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda121.dll,26343424,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda120.dll,26333696,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda121_nocublaslt.dll,26329600,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda120_nocublaslt.dll,26319872,stale_file,review required
stale_file,C:\Program Files\Norton Security\NortonData\22.16.1.4\Definitions\SDSDefs\20191028.007\tcdefs.dat,25485688,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda118.dll,24227328,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda118_nocublaslt.dll,24213504,stale_file,review required
stale_file,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4\extras\CUPTI\lib64\nvperf_host.dll,22563400,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Compute 2024.1.1\target\windows-desktop-win7-x64\nvperf_host.dll,22554224,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda117.dll,21424640,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\bitsandbytes\libbitsandbytes_cuda117_nocublaslt.dll,21410816,stale_file,review required
stale_file,C:\Windows\WinSxS\amd64_microsoft-windows-f..e-microsoftjhenghei_31bf3856ad364e35_10.0.26100.1_none_623460e348a18cb8\msjh.ttc,21404172,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\opengl32sw.dll,20639888,stale_file,review required
stale_file,C:\Program Files\SteelSeries\GG\apps\sonar\libvlc\win-x64\plugins\codec\libavcodec_plugin.dll,17267840,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Compute 2024.1.1\host\windows-desktop-win7-x64\exporter.dll,17138776,stale_file,review required
stale_file,C:\Program Files\NVIDIA Corporation\Nsight Systems 2023.4.4\host-windows-x64\exporter.dll,17138248,stale_file,review required
stale_file,C:\User Manual\Software Application Manual\Notebook_SWmanual_v3.3.pdf,14820063,stale_file,review required
stale_file,C:\Windows\WinSxS\amd64_microsoft-windows-f..type-yugothicmedium_31bf3856ad364e35_10.0.26100.1_none_6157a101cd46378b\YuGothM.ttc,13924448,stale_file,review required
stale_file,C:\Windows\WinSxS\amd64_microsoft-windows-font-truetype-yugothic_31bf3856ad364e35_10.0.26100.1_none_d5e111c481ef5ac4\YuGothR.ttc,13852076,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\PyQt6\Qt6\bin\avcodec-61.dll,13595272,stale_file,review required
stale_file,C:\Windows\WinSxS\amd64_microsoft-windows-f..uetype-malgungothic_31bf3856ad364e35_10.0.26100.1_none_024386d82eb6557a\malgun.ttf,13459196,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Shared\ffmpeg\x64\avformat-58.dll,12441600,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\blis\py.cp312-win_amd64.pyd,11901952,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 20\Plugins\Fruity\Generators\BooBass\BooBass.dll,11894312,stale_file,review required
stale_file,C:\Python312\Lib\site-packages\blis\cy.cp312-win_amd64.pyd,11719680,stale_file,review required
stale_file,C:\Program Files\Image-Line\FL Studio 21\Shared\ffmpeg\x64\avfilter-7.dll,11524608,stale_file,review required
